match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
3895232,Bayer Leverkusen,Josip Stanišić,26,2.0,5.0,6,19.23,94,24.89
3827767,Kerala Blasters,Rahul Kannoly Praveen,26,9.0,10.0,6,38.46,81,28.89
3817900,Jamshedpur,Mohammad Mobashir Rahman,26,6.0,8.0,1,30.77,83,28.19
3837839,Stade de Reims,Jens-Lys Michel Cajuste,26,4.0,4.0,11,15.38,81,28.89
3895180,Eintracht Frankfurt,Mario Götze,26,6.0,4.0,6,15.38,63,37.14
3837859,Toulouse,Ado Onaiwu,26,4.0,1.0,3,3.85,61,38.36
3817887,Hyderabad,Javier Siverio Toro,26,5.0,4.0,11,15.38,96,24.38
3802676,Paris Saint-Germain,Marco Verratti,26,5.0,4.0,9,15.38,91,25.71
3895153,Werder Bremen,Rafael Santos Borré Amaury,26,0.0,2.0,10,7.69,71,32.96
3837902,Paris Saint-Germain,Carlos Soler Barragán,26,2.0,1.0,10,3.85,79,29.62
3837938,OGC Nice,Nicolas Pépé,26,0.0,5.0,12,19.23,90,26.0
3895244,Bayer Leverkusen,Florian Wirtz,26,8.0,7.0,7,26.92,87,26.9
3895134,Hoffenheim,Maximilian Beier,26,5.0,3.0,12,11.54,87,26.9
3895232,Bayer Leverkusen,Piero Martín Hincapié Reyna,26,4.0,9.0,0,34.62,93,25.16
3827337,Kerala Blasters,Adrián Nicolás Luna Retamar,26,4.0,8.0,3,30.77,94,24.89
3827336,Hyderabad,Nim Dorjee Tamang,26,5.0,10.0,0,38.46,77,30.39
3837947,Lens,Ikoma Loïs Openda,26,4.0,5.0,11,19.23,89,26.29
3895210,Bayer Leverkusen,Florian Wirtz,26,7.0,5.0,19,19.23,92,25.43
3817885,East Bengal,Naorem Mahesh Singh,26,5.0,8.0,5,30.77,62,37.74
3802948,Metz,Boubacar Traore,26,2.0,4.0,4,15.38,55,42.55
3837771,Troyes,Mama Samba Baldé,26,8.0,1.0,10,3.85,89,26.29
3817855,Kerala Blasters,Lalthathanga Khawlhring,26,5.0,7.0,2,26.92,92,25.43
3838004,Paris Saint-Germain,Marco Verratti,26,4.0,7.0,2,26.92,89,26.29
3802665,Montpellier,Sacha Delaye,26,5.0,3.0,7,11.54,72,32.5
3802752,Lyon,Bruno Guimarães Rodriguez Moura,26,2.0,6.0,4,23.08,95,24.63
3802984,Nantes,Pedro Chirivella Burgos,26,3.0,5.0,2,19.23,89,26.29
3817889,Chennaiyin,Edwin Sydney Vanspaul,26,3.0,4.0,5,15.38,81,28.89
3813275,Jamshedpur,Ritwik Kumar Das,26,5.0,7.0,9,26.92,78,30.0
3802839,Nantes,Jean-Charles Castelletto,26,1.0,9.0,1,34.62,83,28.19
3813303,ATK Mohun Bagan,Carl Gerard McHugh,26,2.0,5.0,4,19.23,95,24.63
3837727,OGC Nice,Youcef Atal,26,3.0,8.0,8,30.77,74,31.62
3817872,Bengaluru,Udanta Kumam Singh,26,4.0,7.0,7,26.92,95,24.63
3837876,Lille,Angel Gomes,26,4.0,4.0,15,15.38,86,27.21
3895158,Borussia Dortmund,Marco Reus,26,3.0,3.0,2,11.54,83,28.19
3837998,Auxerre,Birama Touré,26,1.0,6.0,3,23.08,93,25.16
3837752,AC Ajaccio,Mounaim El Idrissy,26,2.0,2.0,12,7.69,73,32.05
3895067,Darmstadt 98,Fabian Holland,26,1.0,6.0,0,23.08,92,25.43
3817872,Odisha,Jerry Mawihmingthanga,26,6.0,9.0,6,34.62,92,25.43
3817875,Jamshedpur,Seminlen Doungel,25,2.0,7.0,5,28.0,84,26.79
3817879,Chennaiyin,Khumanthem Ninthoinganba Meetei,25,5.0,8.0,3,32.0,90,25.0
3817900,Chennaiyin,Rahim Ali,25,5.0,6.0,4,24.0,88,25.57
3817895,Goa,Makan Winkle Chote,25,6.0,6.0,8,24.0,92,24.46
3817854,Bengaluru,Cleiton Augusto Oliveira Silva,25,5.0,5.0,21,20.0,94,23.94
3895158,Borussia Dortmund,Julian Brandt,25,6.0,2.0,3,8.0,92,24.46
3837947,Lens,Adrien Thomasson,25,2.0,3.0,8,12.0,45,50.0
3802837,Saint-Étienne,Denis Bouanga,25,7.0,5.0,8,20.0,93,24.19
3802818,Lorient,Dango Aboubacar Faissal Ouattara,25,6.0,3.0,5,12.0,77,29.22
3837706,Stade Brestois,Jean-Kevin Duverne,25,4.0,4.0,8,16.0,93,24.19
3817901,Jamshedpur,Pronay Halder,25,3.0,6.0,4,24.0,67,33.58
3802690,Paris Saint-Germain,Idrissa Gana Gueye,25,4.0,8.0,0,32.0,90,25.0
3813306,ATK Mohun Bagan,Deepak Tangri,25,9.0,7.0,3,28.0,82,27.44
3817895,Chennaiyin,Jerry Lalrinzuala,25,6.0,10.0,1,40.0,92,24.46
3817859,Jamshedpur,Greg Stewart,25,2.0,6.0,5,24.0,94,23.94
3837818,Angers,Himad Abdelli,25,3.0,4.0,4,16.0,61,36.89
3817848,Goa,Alberto Noguera Ripoll,25,8.0,9.0,8,36.0,94,23.94
3813271,Kerala Blasters,Sahal Abdul Samad,25,4.0,7.0,8,28.0,73,30.82
3895232,Bayern Munich,Sacha Boey,25,5.0,1.0,9,4.0,79,28.48
3837876,Lille,Benjamin André,25,3.0,4.0,4,16.0,96,23.44
3895202,RB Leipzig,Benjamin Šeško,25,7.0,6.0,8,24.0,73,30.82
3813318,NorthEast United,Imran Khan,25,2.0,5.0,6,20.0,86,26.16
3802802,Stade de Reims,Yunis Abdelhamid,25,6.0,4.0,0,16.0,90,25.0
3837902,Stade Brestois,Pierre Lees Melou,25,3.0,6.0,2,24.0,93,24.19
3837706,Stade Brestois,Mahdi Camara,25,4.0,5.0,6,20.0,61,36.89
3837771,Troyes,Wilson Odobert,25,4.0,2.0,3,8.0,80,28.13
3802904,Bordeaux,Enock Kwateng,25,4.0,9.0,3,36.0,93,24.19
3817873,NorthEast United,Suhair Vadakkepeedika,25,1.0,9.0,17,36.0,93,24.19
3813267,East Bengal,Antonio Perošević,25,6.0,4.0,13,16.0,94,23.94
3837885,Paris Saint-Germain,Marco Verratti,25,5.0,4.0,2,16.0,91,24.73
3837902,Paris Saint-Germain,Marco Verratti,25,6.0,8.0,5,32.0,94,23.94
