player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
Héctor Rodas Ramírez,Odisha,307,0.0,0.0,135.0,0.0
Vishal Kaith,Chennaiyin,161,0.0,0.0,112.0,0.0
Dante Bonfim da Costa Santos,OGC Nice,210,0.0,0.0,77.0,0.0
Wahengbam Angousana Luwang,East Bengal,264,0.0,0.0,71.0,0.0
Cengiz Ünder,Marseille,66,0.0,0.0,15.0,0.0
Benjamin Bourigeaud,Rennes,115,0.0,0.0,36.0,0.0
Liston Colaco,ATK Mohun Bagan,417,0.0,0.0,88.0,0.0
Himad Abdelli,Angers,123,0.0,0.0,35.0,0.0
Rasmus Nicolaisen,Toulouse,43,0.0,0.0,14.0,0.0
Khassa Camara,NorthEast United,250,0.0,0.0,85.0,0.0
Nelson Sissoko,Saint-Étienne,8,0.0,0.0,3.0,0.0
Federico Gallego Revetria,NorthEast United,10,0.0,0.0,4.0,0.0
Khassa Camara,Hyderabad,103,0.0,0.0,33.0,0.0
Nathanaël Mbuku,Stade de Reims,21,0.0,0.0,2.0,0.0
Martin Terrier,Rennes,47,0.0,0.0,7.0,0.0
Jason Berthomier,Clermont Foot,28,0.0,0.0,5.0,0.0
Kasper Schmeichel,OGC Nice,41,0.0,0.0,25.0,0.0
Moreto Moro Cassamã,Stade de Reims,43,0.0,0.0,11.0,0.0
Armand Lauriente,Lorient,29,0.0,0.0,6.0,0.0
Alfred Benjamin Gomis,Rennes,19,0.0,0.0,16.0,0.0
Boubakar Kouyate,Montpellier,32,0.0,0.0,16.0,0.0
Amine Harit,Marseille,68,0.0,0.0,14.0,0.0
Damaitphang Lyngdoh,Bengaluru,29,0.0,0.0,3.0,0.0
Clément Vidal,AC Ajaccio,22,0.0,0.0,11.0,0.0
Yehvann Diouf,Stade de Reims,19,0.0,0.0,14.0,0.0
Konrad De La Fuente,Marseille,8,0.0,0.0,1.0,0.0
Théo Sainte-Luce,Montpellier,41,0.0,0.0,7.0,0.0
Arnaud Kalimuendo Muinga,Rennes,31,0.0,0.0,3.0,0.0
Enzo Gianni Tchato Mbiayi,Montpellier,38,0.0,0.0,7.0,0.0
Deven Sawhney,Odisha,13,0.0,0.0,4.0,0.0
Rémi Oudin,Bordeaux,27,0.0,0.0,6.0,0.0
Fabien Lemoine,Lorient,14,0.0,0.0,3.0,0.0
Ibrahima Koné,Lorient,16,0.0,0.0,1.0,0.0
Walter Daniel Benítez,OGC Nice,38,0.0,0.0,25.0,0.0
Terem Igobor Moffi,OGC Nice,10,0.0,0.0,3.0,0.0
Karl Brillant Toko Ekambi,Rennes,18,0.0,0.0,2.0,0.0
Mounaim El Idrissy,AC Ajaccio,22,0.0,0.0,4.0,0.0
Pape Gueye,Marseille,70,0.0,0.0,15.0,0.0
Khéphren Thuram-Ulien,OGC Nice,120,0.0,0.0,26.0,0.0
Mohammed Irshad,NorthEast United,205,0.0,0.0,59.0,0.0
Devendra Dhaku Murgaokar,Goa,153,0.0,0.0,29.0,0.0
Ariel Borysiuk,Chennaiyin,464,0.0,0.0,185.0,0.0
Marco Sahanek,NorthEast United,147,0.0,0.0,37.0,0.0
Moirangthem Thoiba Singh,Odisha,301,0.0,0.0,108.0,0.0
Mohamed Youcef Belaïli,AC Ajaccio,34,0.0,0.0,13.0,0.0
Iman Basafa,Bengaluru,99,0.0,0.0,15.0,0.0
Sunil Chhetri,Bengaluru,324,0.0,0.0,69.0,0.0
Yroundu Musavu-King,Bengaluru,112,0.0,0.0,42.0,0.0
Arindam Bhattacharja,East Bengal,134,0.0,0.0,114.0,0.0
Narayan Das,Chennaiyin,613,0.0,0.0,278.0,0.0
Mohammad Yasir,Hyderabad,170,0.0,0.0,52.0,0.0
Benoît Badiashile Mukinayi,AS Monaco,28,0.0,0.0,10.0,0.0
Pablo Paulino Rosario,OGC Nice,100,0.0,0.0,27.0,0.0
Yan Valery,Angers,47,0.0,0.0,15.0,0.0
Bradden Inman,Mumbai City,160,0.0,0.0,42.0,0.0
Vincy Barretto,Kerala Blasters,73,0.0,0.0,12.0,0.0
Brandon Fernandes,Goa,227,0.0,0.0,62.0,0.0
Vikram Pratap Singh,Mumbai City,75,0.0,0.0,16.0,0.0
Serhou Guirassy,Rennes,14,0.0,0.0,1.0,0.0
Yasser Larouci,Troyes,35,0.0,0.0,3.0,0.0
Johan Gastien,Clermont Foot,220,0.0,0.0,63.0,0.0
Redeem Tlang,Goa,16,0.0,0.0,3.0,0.0
Mathias Pereira Lage,Stade Brestois,8,0.0,0.0,2.0,0.0
Boubacar Kamara,Marseille,133,0.0,0.0,25.0,0.0
Dion Lopy,Stade de Reims,57,0.0,0.0,12.0,0.0
Arnaud Souquet,Montpellier,25,0.0,0.0,3.0,0.0
Luan Peres Petroni,Marseille,88,0.0,0.0,26.0,0.0
Lovro Majer,Rennes,64,0.0,0.0,17.0,0.0
Timothée Kolodziejczak,Saint-Étienne,53,0.0,0.0,20.0,0.0
Naveen Kumar,Goa,78,0.0,0.0,44.0,0.0
Brison Deuben Fernandes,Goa,8,0.0,0.0,1.0,0.0
Jean Emile Junior Onana Onana,Bordeaux,37,0.0,0.0,9.0,0.0
Kamaldeen Sulemana,Rennes,26,0.0,0.0,9.0,0.0
Stijn Spierings,Toulouse,97,0.0,0.0,32.0,0.0
Gaëtan Laborde,OGC Nice,13,0.0,0.0,1.0,0.0
Christopher Wooh,Lens,34,0.0,0.0,9.0,0.0
Mohamed Ali,Goa,120,0.0,0.0,38.0,0.0
Pierrick Capelle,Angers,21,0.0,0.0,2.0,0.0
Grejohn Kyei,Clermont Foot,26,0.0,0.0,1.0,0.0
Islam Slimani,Stade Brestois,27,0.0,0.0,2.0,0.0
Denis Bouanga,Saint-Étienne,26,0.0,0.0,2.0,0.0
