match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
3817884,ATK Mohun Bagan,67.0,1.388,70.15,20.9,8.96,Low Block,47.0,14.0,6.0
3817884,Hyderabad,44.0,1.455,65.91,22.73,11.36,Low Block,29.0,10.0,5.0
3817885,East Bengal,58.0,1.293,75.86,18.97,5.17,Low Block,44.0,11.0,3.0
3817885,Mumbai City,56.0,1.482,60.71,30.36,8.93,Low Block,34.0,17.0,5.0
3817886,Kerala Blasters,70.0,1.443,62.86,30.0,7.14,Low Block,44.0,21.0,5.0
3817886,NorthEast United,69.0,1.377,68.12,26.09,5.8,Low Block,47.0,18.0,4.0
3817887,Hyderabad,61.0,1.607,54.1,31.15,14.75,Low Block,33.0,19.0,9.0
3817887,Mumbai City,52.0,1.442,59.62,36.54,3.85,Low Block,31.0,19.0,2.0
3817888,ATK Mohun Bagan,35.0,1.714,42.86,42.86,14.29,Balanced,15.0,15.0,5.0
3817888,East Bengal,72.0,1.236,83.33,9.72,6.94,Low Block,60.0,7.0,5.0
3817889,ATK Mohun Bagan,50.0,1.56,58.0,28.0,14.0,Low Block,29.0,14.0,7.0
3817889,Chennaiyin,47.0,1.319,72.34,23.4,4.26,Low Block,34.0,11.0,2.0
3817890,Goa,37.0,1.486,59.46,32.43,8.11,Low Block,22.0,12.0,3.0
3817890,NorthEast United,68.0,1.25,77.94,19.12,2.94,Low Block,53.0,13.0,2.0
3817891,Bengaluru,57.0,1.614,52.63,33.33,14.04,Low Block,30.0,19.0,8.0
3817891,East Bengal,67.0,1.552,55.22,34.33,10.45,Low Block,37.0,23.0,7.0
3817892,ATK Mohun Bagan,44.0,1.455,68.18,18.18,13.64,Low Block,30.0,8.0,6.0
3817892,Odisha,42.0,1.214,80.95,16.67,2.38,Low Block,34.0,7.0,1.0
3817893,East Bengal,56.0,1.571,51.79,39.29,8.93,Low Block,29.0,22.0,5.0
3817893,NorthEast United,45.0,1.244,77.78,20.0,2.22,Low Block,35.0,9.0,1.0
3817894,Goa,39.0,1.333,69.23,28.21,2.56,Low Block,27.0,11.0,1.0
3817894,Odisha,59.0,1.576,59.32,23.73,16.95,Low Block,35.0,14.0,10.0
3817895,Chennaiyin,50.0,1.42,66.0,26.0,8.0,Low Block,33.0,13.0,4.0
3817895,Goa,36.0,1.722,47.22,33.33,19.44,Balanced,17.0,12.0,7.0
3817896,East Bengal,50.0,1.58,56.0,30.0,14.0,Low Block,28.0,15.0,7.0
3817896,Odisha,52.0,1.346,75.0,15.38,9.62,Low Block,39.0,8.0,5.0
3817897,Hyderabad,78.0,1.487,62.82,25.64,11.54,Low Block,49.0,20.0,9.0
3817897,Kerala Blasters,39.0,1.333,66.67,33.33,0.0,Low Block,26.0,13.0,0.0
3817898,Goa,38.0,1.421,68.42,21.05,10.53,Low Block,26.0,8.0,4.0
3817898,Mumbai City,67.0,1.388,73.13,14.93,11.94,Low Block,49.0,10.0,8.0
