match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
3895320,VfB Stuttgart,Atakan Karazor,0.0,2.0,32.0,1.0,0.0,5.0,2.0,0.0,2.0,10.0,28.0,6.0,2.0,35.0,0.0,91.43,5.71,5.71,13.64,Balanced Defender
3837747,Paris Saint-Germain,Fabián Ruiz Peña,0.0,2.0,31.0,2.0,0.0,4.0,4.0,1.0,5.0,22.0,20.0,6.0,1.0,35.0,20.0,88.57,5.71,2.86,12.5,Balanced Defender
3895180,Bayer Leverkusen,Florian Wirtz,0.0,2.0,30.0,3.0,0.0,10.0,0.0,0.0,2.0,10.0,16.0,21.0,9.0,35.0,0.0,85.71,5.71,25.71,44.68,Balanced Defender
3817872,Bengaluru,Danish Farooq Bhat,0.0,1.0,33.0,1.0,0.0,2.0,1.0,1.0,3.0,4.0,17.0,20.0,1.0,35.0,33.33,94.29,2.86,2.86,48.78,Balanced Defender
3837706,Stade Brestois,Pierre Lees Melou,0.0,2.0,32.0,1.0,2.0,6.0,3.0,1.0,5.0,30.0,17.0,4.0,0.0,35.0,20.0,91.43,5.71,0.0,7.84,Balanced Defender
3837918,Rennes,Arnaud Kalimuendo Muinga,0.0,0.0,34.0,1.0,0.0,1.0,0.0,0.0,4.0,6.0,14.0,20.0,1.0,35.0,0.0,97.14,0.0,2.86,50.0,Balanced Defender
3817891,East Bengal,Naocha Huidrom Singh,0.0,6.0,28.0,1.0,4.0,8.0,2.0,1.0,6.0,36.0,11.0,8.0,4.0,35.0,16.67,80.0,17.14,11.43,14.55,Balanced Defender
3895194,Augsburg,Iago Amaral Borduchi,0.0,3.0,22.0,10.0,5.0,4.0,1.0,0.0,3.0,33.0,10.0,5.0,0.0,35.0,0.0,62.86,8.57,0.0,10.42,Protector
3895210,Borussia Mönchengladbach,Franck Honorat,0.0,0.0,32.0,3.0,4.0,1.0,0.0,0.0,1.0,27.0,4.0,10.0,0.0,35.0,0.0,91.43,0.0,0.0,24.39,Balanced Defender
3837859,Toulouse,Fares Chaïbi,0.0,1.0,32.0,2.0,0.0,4.0,2.0,0.0,1.0,15.0,19.0,8.0,1.0,35.0,0.0,91.43,2.86,2.86,19.05,Balanced Defender
