match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
3817877,Laldanmawia Ralte,NorthEast United,2,0.992,3.0,1.0,0.496,3.0,62.0,1.44,54.23
3837683,Hugo Ekitike,Paris Saint-Germain,2,0.734,2.0,0.0,0.367,5.0,46.0,1.436,26.03
3813289,Isaac Vanmalsawma Chhakchhuak,Odisha,2,0.35,2.0,1.0,0.175,3.0,22.0,1.432,54.96
3895060,Adam Hložek,Bayer Leverkusen,2,0.346,2.0,0.0,0.173,4.0,22.0,1.415,13.52
3817899,Sandip Mandi,Jamshedpur,2,0.281,2.0,1.0,0.14,4.0,18.0,1.405,10.68
3802643,Anthony Caci,Strasbourg,2,0.372,3.0,1.0,0.186,6.0,24.0,1.395,26.34
3817862,Gurkirat Singh,Mumbai City,1,0.108,1.0,0.0,0.108,1.0,7.0,1.389,12.08
3837885,Jonathan Clauss,Marseille,1,0.397,3.0,0.0,0.397,3.0,26.0,1.374,30.63
3813290,Javier Siverio Toro,Hyderabad,2,0.305,2.0,2.0,0.153,4.0,20.0,1.373,14.79
3802837,Leandro Daniel Paredes,Paris Saint-Germain,2,0.572,2.0,2.0,0.286,3.0,38.0,1.355,22.81
3895302,Alejandro Grimaldo García,Bayer Leverkusen,2,0.358,2.0,1.0,0.179,4.0,24.0,1.343,12.37
