player,team,match_id,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
Deepak Tangri,ATK Mohun Bagan,3817848,1,0.448,0.448,2.0,88.0,0.459
Seityasen Singh,Kerala Blasters,3813282,2,0.101,0.051,3.0,20.0,0.456
Junior Chukwubuike Adamu,Freiburg,3895121,1,0.056,0.056,1.0,11.0,0.455
David Joel Williams,ATK Mohun Bagan,3813287,1,0.025,0.025,1.0,5.0,0.455
Leandro Daniel Paredes,Paris Saint-Germain,3837650,4,0.444,0.111,32.0,88.0,0.454
Vinit Rai Chamling,Mumbai City,3817864,1,0.055,0.055,2.0,11.0,0.452
Cássio Gabriel Vilela Ferreira,Mumbai City,3813312,2,1.257,0.419,14.0,252.0,0.449
Souvik Chakrabarti,Hyderabad,3817871,2,1.122,0.374,5.0,225.0,0.449
Gianluigi Donnarumma,Paris Saint-Germain,3837954,1,0.447,0.447,2.0,90.0,0.447
Nongdamba Singh Naorem,Goa,3817898,2,0.209,0.104,3.0,42.0,0.447
José Luis Espinosa Arroyo,ATK Mohun Bagan,3827338,3,0.909,0.303,14.0,183.0,0.447
Liridon Krasniqi,Odisha,3817896,2,0.297,0.148,8.0,60.0,0.445
