match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
3802685,Paris Saint-Germain,Marcos Aoás Corrêa,80.0,74.0,154.0,10,12,22,23.4
3817858,Kerala Blasters,Marko Lešković,81.0,72.0,153.0,11,9,20,34.77
3802665,Paris Saint-Germain,Lionel Andrés Messi Cuccittini,69.0,84.0,153.0,12,12,24,21.37
3895158,Bayer Leverkusen,Edmond Fayçal Tapsoba,82.0,71.0,153.0,8,9,17,25.16
3837662,Lille,Angel Gomes,76.0,77.0,153.0,13,13,26,29.48
3895250,Bayer Leverkusen,Edmond Fayçal Tapsoba,79.0,74.0,153.0,12,9,21,24.6
3802984,Paris Saint-Germain,Idrissa Gana Gueye,79.0,74.0,153.0,12,12,24,20.51
3895182,Bayer Leverkusen,Robert Andrich,79.0,74.0,153.0,12,12,24,22.3
3837717,Paris Saint-Germain,Neymar da Silva Santos Junior,69.0,84.0,153.0,9,11,20,20.37
3895302,Bayer Leverkusen,Edmond Fayçal Tapsoba,81.0,71.0,152.0,12,11,23,26.03
3837947,Lens,Seko Fofana,76.0,76.0,152.0,13,13,26,38.19
3802665,Paris Saint-Germain,Juan Bernat Velasco,81.0,71.0,152.0,9,9,18,21.23
3895275,Bayer Leverkusen,Josip Stanišić,77.0,75.0,152.0,12,11,23,21.9
3802793,Paris Saint-Germain,Danilo Luís Hélio Pereira,83.0,69.0,152.0,11,10,21,21.75
3838004,Paris Saint-Germain,Renato Júnior Luz Sanches,71.0,81.0,152.0,9,9,18,21.41
3895333,Eintracht Frankfurt,Robin Koch,75.0,77.0,152.0,11,9,20,31.93
3802907,Paris Saint-Germain,Marco Verratti,74.0,77.0,151.0,9,11,20,25.68
3895167,VfB Stuttgart,Waldemar Anton,77.0,74.0,151.0,12,11,23,28.6
3837876,Lille,André Filipe Tavares Gomes,75.0,76.0,151.0,13,14,27,31.52
3895202,Bayer Leverkusen,Jonathan Tah,80.0,71.0,151.0,9,7,16,25.25
