match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
3813311,Jamshedpur,57,4.769,170.0,0.084,2.98
3813312,ATK Mohun Bagan,29,1.429,54.0,0.049,1.86
3813312,Mumbai City,42,14.083,232.0,0.335,5.52
3813313,ATK Mohun Bagan,47,8.125,165.0,0.173,3.51
3813313,Odisha,22,0.845,60.0,0.038,2.73
3813314,ATK Mohun Bagan,21,6.123,59.0,0.292,2.81
3813314,Kerala Blasters,35,2.153,78.0,0.062,2.23
3813315,Goa,41,3.1910000000000003,118.0,0.078,2.88
3813315,Jamshedpur,12,1.35,15.0,0.112,1.25
3813316,Goa,55,10.129,189.0,0.184,3.44
3813316,NorthEast United,20,2.285,41.0,0.114,2.05
3813317,East Bengal,18,0.764,46.0,0.042,2.56
3813317,Odisha,21,2.291,39.0,0.109,1.86
3813318,Mumbai City,56,9.959,160.0,0.178,2.86
3813318,NorthEast United,23,6.22,59.0,0.27,2.57
3817848,ATK Mohun Bagan,11,1.6360000000000001,17.0,0.149,1.55
3817848,Goa,49,3.6550000000000002,117.0,0.075,2.39
3817849,Bengaluru,49,7.125,168.0,0.145,3.43
3817849,Mumbai City,28,2.686,86.0,0.096,3.07
3817850,East Bengal,17,0.882,24.0,0.052,1.41
3817850,Jamshedpur,35,2.446,86.0,0.07,2.46
3817851,Kerala Blasters,64,4.468,189.0,0.07,2.95
3817851,Odisha,19,1.08,39.0,0.057,2.05
3817852,Chennaiyin,9,0.625,15.0,0.069,1.67
3817852,Mumbai City,32,6.539,73.0,0.204,2.28
3817853,East Bengal,5,0.108,8.0,0.022,1.6
3817853,Goa,68,3.376,173.0,0.05,2.54
3817854,ATK Mohun Bagan,6,0.16999999999999998,11.0,0.028,1.83
3817854,Bengaluru,37,2.96,112.0,0.08,3.03
3817855,ATK Mohun Bagan,44,6.018,109.0,0.137,2.48
3817855,Kerala Blasters,30,1.414,81.0,0.047,2.7
3817856,ATK Mohun Bagan,56,2.531,126.0,0.045,2.25
3817856,Jamshedpur,13,1.127,26.0,0.087,2.0
3817857,Hyderabad,19,1.1099999999999999,36.0,0.058,1.89
3817857,Jamshedpur,28,1.914,58.0,0.068,2.07
3817858,Chennaiyin,14,1.314,33.0,0.094,2.36
3817858,Kerala Blasters,50,9.153,133.0,0.183,2.66
3817859,Jamshedpur,20,1.915,47.0,0.096,2.35
3817859,NorthEast United,26,8.182,69.0,0.315,2.65
3817860,Hyderabad,33,2.376,74.0,0.072,2.24
3817860,Odisha,11,0.653,32.0,0.059,2.91
3817861,Bengaluru,37,2.173,86.0,0.059,2.32
3817861,Kerala Blasters,29,0.972,53.0,0.034,1.83
3817862,Mumbai City,38,3.396,160.0,0.089,4.21
3817862,Odisha,30,1.238,65.0,0.041,2.17
3817863,Goa,54,4.754,129.0,0.088,2.39
3817863,Hyderabad,21,1.176,70.0,0.056,3.33
3817864,ATK Mohun Bagan,42,2.088,96.0,0.05,2.29
3817864,Mumbai City,45,3.036,143.0,0.067,3.18
3817865,NorthEast United,27,2.159,80.0,0.08,2.96
3817865,Odisha,38,7.297,88.0,0.192,2.32
3817866,Kerala Blasters,34,2.084,70.0,0.061,2.06
3817866,Mumbai City,21,1.156,43.0,0.055,2.05
3817867,Mumbai City,14,1.797,38.0,0.128,2.71
3817867,NorthEast United,24,1.458,67.0,0.061,2.79
3817868,Bengaluru,31,5.94,76.0,0.192,2.45
3817868,Chennaiyin,41,5.792,97.0,0.141,2.37
3817869,Bengaluru,28,3.193,70.0,0.114,2.5
3817869,Hyderabad,18,1.335,34.0,0.074,1.89
3817870,Goa,41,3.84,87.0,0.094,2.12
3817870,Kerala Blasters,25,5.793,57.0,0.232,2.28
3817871,Hyderabad,39,6.093,98.0,0.156,2.51
3817871,NorthEast United,27,0.85,59.0,0.031,2.19
3817872,Bengaluru,36,5.787,143.0,0.161,3.97
3817872,Odisha,31,5.895,65.0,0.19,2.1
3817873,ATK Mohun Bagan,35,5.947,91.0,0.17,2.6
3817873,NorthEast United,55,3.037,136.0,0.055,2.47
3817874,Bengaluru,20,1.201,32.0,0.06,1.6
3817874,Goa,25,1.573,66.0,0.063,2.64
3817875,Goa,43,5.3149999999999995,190.0,0.124,4.42
3817875,Jamshedpur,5,0.494,9.0,0.099,1.8
3817876,Chennaiyin,32,2.308,78.0,0.072,2.44
3817876,NorthEast United,42,5.603,97.0,0.133,2.31
3817877,Bengaluru,50,6.666,132.0,0.133,2.64
3817877,NorthEast United,31,5.2540000000000004,66.0,0.169,2.13
3817878,East Bengal,38,1.671,99.0,0.044,2.61
3817878,Hyderabad,31,5.25,67.0,0.169,2.16
3817879,Chennaiyin,13,1.105,33.0,0.085,2.54
3817879,Hyderabad,69,2.719,176.0,0.039,2.55
3817880,Chennaiyin,39,4.322,81.0,0.111,2.08
3817880,Odisha,44,5.245,111.0,0.119,2.52
3817881,Jamshedpur,23,1.374,62.0,0.06,2.7
3817881,Kerala Blasters,24,0.616,39.0,0.026,1.62
3817882,Chennaiyin,29,2.397,59.0,0.083,2.03
3817882,East Bengal,62,3.346,164.0,0.054,2.65
3817883,Bengaluru,10,1.038,18.0,0.104,1.8
3817883,Jamshedpur,24,1.879,50.0,0.078,2.08
3817884,ATK Mohun Bagan,48,6.407,94.0,0.133,1.96
3817884,Hyderabad,31,3.769,82.0,0.122,2.65
3817885,East Bengal,18,1.6039999999999999,39.0,0.089,2.17
3817885,Mumbai City,32,1.842,99.0,0.058,3.09
3817886,Kerala Blasters,26,1.538,57.0,0.059,2.19
3817886,NorthEast United,26,1.172,75.0,0.045,2.88
3817887,Hyderabad,21,3.194,47.0,0.152,2.24
3817887,Mumbai City,39,2.665,102.0,0.068,2.62
3817888,ATK Mohun Bagan,102,11.565,318.0,0.113,3.12
3817888,East Bengal,32,1.855,73.0,0.058,2.28
3817889,ATK Mohun Bagan,27,1.044,78.0,0.039,2.89
3817889,Chennaiyin,40,2.061,183.0,0.052,4.58
3817890,Goa,66,7.382,168.0,0.112,2.55
3817890,NorthEast United,18,0.804,50.0,0.045,2.78
3817891,Bengaluru,24,4.101,75.0,0.171,3.12
3817891,East Bengal,22,1.615,37.0,0.073,1.68
3817892,ATK Mohun Bagan,54,3.402,147.0,0.063,2.72
3817892,Odisha,20,1.774,44.0,0.089,2.2
3817893,East Bengal,53,1.597,148.0,0.03,2.79
3817893,NorthEast United,22,3.253,51.0,0.148,2.32
3817894,Goa,78,5.095,163.0,0.065,2.09
3817894,Odisha,12,1.567,20.0,0.131,1.67
