season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2024,Santiago Tomás Giménez,Mexico,3,8,1.03,0.0,-1.03
2023,Evidence Makgopa,South Africa,7,13,2.06,1.0,-1.06
2023,Meschak Elia,Congo DR,4,7,2.08,1.0,-1.08
2024,Yangel Clemente Herrera Ravelo,Venezuela,4,8,1.09,0.0,-1.09
2024,Rasmus Winther Højlund,Denmark,3,6,1.1,0.0,-1.1
2023,Willy Afonso Semedo Johnson,Cape Verde Islands,3,5,1.1,0.0,-1.1
2022,Robert Lewandowski,Poland,3,12,3.13,2.0,-1.13
2023,Morgan Guilavogui,Guinea,4,6,1.14,0.0,-1.14
2022,Jamal Musiala,Germany,3,11,1.15,0.0,-1.15
2024,Aleksandar Mitrović,Serbia,3,10,1.15,0.0,-1.15
2024,José María Giménez de Vargas,Uruguay,3,5,1.15,0.0,-1.15
2024,Marcus Thuram,France,4,12,1.18,0.0,-1.18
2024,Lucas Tolentino Coelho de Lima,Brazil,3,11,2.21,1.0,-1.21
2023,Cédric Bakambu,Congo DR,6,10,2.23,1.0,-1.23
2023,Yoane Wissa,Congo DR,6,21,4.24,3.0,-1.24
2024,Andraž Šporar,Slovenia,3,8,1.25,0.0,-1.25
2022,Rodrygo Silva de Goes,Brazil,4,7,1.25,0.0,-1.25
2023,Percy Tau,South Africa,4,12,2.33,1.0,-1.33
2023,Ayoub El Kaabi,Morocco,3,6,1.33,0.0,-1.33
2023,Peter Shalulile,Namibia,2,10,1.37,0.0,-1.37
2024,Kylian Mbappé Lottin,France,5,24,2.51,1.0,-1.51
2024,Antoine Griezmann,France,6,12,1.52,0.0,-1.52
2022,Romelu Lukaku Menama,Belgium,1,5,1.68,0.0,-1.68
2024,Tanitoluwa Oluwaseyi,Canada,4,9,1.74,0.0,-1.74
2024,Romelu Lukaku Menama,Belgium,4,11,1.75,0.0,-1.75
2024,Kai Havertz,Germany,5,19,3.78,2.0,-1.78
2024,Lionel Andrés Messi Cuccittini,Argentina,5,14,2.81,1.0,-1.81
2022,Lautaro Javier Martínez,Argentina,6,15,2.91,1.0,-1.91
2023,Victor James Osimhen,Nigeria,6,24,3.11,1.0,-2.11
2024,Ricardo Daniel Pepi,United States,2,7,2.16,0.0,-2.16
2024,Cristiano Ronaldo dos Santos Aveiro,Portugal,5,25,4.54,2.0,-2.54
