season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2022,3857300,Saudi Arabia,Saleh Khalid Al Shehri,25,4.0,3.0,6,12.0,77,29.22
2023,3922658,Cape Verde Islands,Jamiro Gregory Monteiro Alvarenga,25,4.0,5.0,6,20.0,85,26.47
2024,3930179,Spain,Mikel Merino Zazón,25,7.0,5.0,7,20.0,92,24.46
2023,3920418,Congo DR,Fiston Kalala Mayele,25,2.0,3.0,16,12.0,67,33.58
2022,3869219,Croatia,Mateo Kovačić,25,6.0,4.0,12,16.0,98,22.96
2024,3930170,Slovenia,Erik Janža,25,1.0,6.0,1,24.0,92,24.46
2023,3922237,Angola,Alfredo Kulembe Ribeiro,25,5.0,6.0,4,24.0,69,32.61
2022,3869253,South Korea,Hee-Chan Hwang,25,4.0,7.0,6,28.0,93,24.19
2023,3920409,Guinea-Bissau,Euciodálcio Gomes,25,4.0,5.0,5,20.0,87,25.86
2024,3942229,Venezuela,Jon Mikel Aramburu Mejías,25,6.0,14.0,4,56.0,93,24.19
2022,3869354,England,Jude Bellingham,25,12.0,12.0,10,48.0,98,22.96
2024,3942227,England,Jude Bellingham,25,4.0,5.0,10,20.0,121,18.6
2023,3922659,Mali,Falaye Sacko,25,6.0,8.0,4,32.0,118,19.07
2023,3923880,Congo DR,Simon Bokote Banza,25,3.0,3.0,15,12.0,77,29.22
2024,3942349,Portugal,João Maria Lobo Alves Palhinha Gonçalves,25,3.0,8.0,0,32.0,91,24.73
2022,3869552,France,Ousmane Dembélé,25,5.0,7.0,9,28.0,78,28.85
2023,3920400,Cameroon,Frank Magri,25,8.0,2.0,18,8.0,95,23.68
2024,3930177,Hungary,Roland Sallai,25,3.0,3.0,9,12.0,101,22.28
2023,3920390,Angola,Manuel Luís da Silva Cafumana,25,3.0,2.0,0,8.0,93,24.19
2023,3920384,Guinea-Bissau,Alfa Semedo Esteves,25,4.0,3.0,3,12.0,93,24.19
2023,3923880,Congo DR,Samuel Moutoussamy,25,3.0,6.0,6,24.0,121,18.6
2024,3939975,Paraguay,Alex Adrián Arce Barrios,25,5.0,1.0,8,4.0,78,28.85
2022,3869519,Argentina,Rodrigo Javier De Paul,25,6.0,3.0,3,12.0,73,30.82
2023,3922241,Mauritania,Ibrahima Keita,25,3.0,8.0,5,32.0,78,28.85
