season_name,player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
2024,Fabian Lukas Schär,Switzerland,14,19.0,1.36,8.0,2.0
2024,Giacomo Raspadori,Italy,11,15.0,1.36,7.0,1.86
2024,Philip Foden,England,20,27.0,1.35,6.0,2.83
2024,João Maria Lobo Alves Palhinha Gonçalves,Portugal,26,35.0,1.35,18.0,1.78
2022,Leandro Daniel Paredes,Argentina,17,23.0,1.35,10.0,2.0
2022,Akram Hassan Afif,Qatar,24,32.0,1.33,10.0,2.8
2022,Mikkel Damsgaard,Denmark,9,12.0,1.33,6.0,1.5
2024,Rodrigo Hernández Cascante,Spain,46,61.0,1.33,28.0,1.54
2022,Darwin Gabriel Núñez Ribeiro,Uruguay,6,8.0,1.33,1.0,4.0
2024,Alexander Hartmann Bah,Denmark,9,12.0,1.33,3.0,1.0
2022,Mathew Leckie,Australia,6,8.0,1.33,3.0,2.0
2022,Antony Matheus dos Santos,Brazil,12,16.0,1.33,3.0,3.0
2022,Dries Mertens,Belgium,6,8.0,1.33,2.0,2.0
2022,Giovanni Reyna,United States,12,16.0,1.33,3.0,2.33
2024,İlkay Gündoğan,Germany,18,24.0,1.33,11.0,1.64
2024,Denis Vavro,Slovakia,27,36.0,1.33,20.0,1.65
2022,Aaron Mooy,Australia,15,20.0,1.33,8.0,2.13
2022,Ismail Jakobs,Senegal,6,8.0,1.33,4.0,1.75
