season_name,match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
2022,3869552,France,Youssouf Fofana,0.0,2.0,34.0,3.0,0.0,5.0,2.0,2.0,4.0,24.0,23.0,3.0,2.0,39.0,50.0,87.18,5.13,5.13,6.0,Balanced Defender
2023,3920403,Angola,Manuel Luís da Silva Cafumana,0.0,2.0,32.0,5.0,2.0,5.0,5.0,0.0,4.0,17.0,34.0,4.0,1.0,39.0,0.0,82.05,5.13,2.56,7.27,Balanced Defender
2024,3942227,England,Philip Foden,0.0,0.0,37.0,1.0,0.0,5.0,0.0,1.0,1.0,9.0,19.0,16.0,1.0,38.0,100.0,97.37,0.0,2.63,36.36,Dominant Duelist
2024,3938643,Poland,Kacper Urbanski,0.0,0.0,35.0,3.0,3.0,4.0,4.0,0.0,3.0,24.0,20.0,8.0,2.0,38.0,0.0,92.11,0.0,5.26,15.38,Balanced Defender
2022,3857255,Japan,Daizen Maeda,0.0,2.0,35.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,27.0,14.0,1.0,38.0,0.0,92.11,5.26,2.63,33.33,Balanced Defender
2024,3930165,Austria,Christoph Baumgartner,0.0,0.0,37.0,1.0,0.0,5.0,5.0,0.0,3.0,5.0,19.0,27.0,2.0,38.0,0.0,97.37,0.0,5.26,52.94,Balanced Defender
2022,3857281,Croatia,Marcelo Brozović,0.0,1.0,30.0,7.0,0.0,5.0,2.0,0.0,3.0,22.0,19.0,7.0,1.0,38.0,0.0,78.95,2.63,2.63,14.58,Balanced Defender
2022,3857286,Ecuador,Gonzalo Jordy Plata Jiménez,0.0,2.0,32.0,3.0,0.0,2.0,1.0,1.0,4.0,7.0,26.0,11.0,1.0,37.0,25.0,86.49,5.41,2.7,25.0,Balanced Defender
2024,3930162,Slovenia,Adam Gnezda Čerin,0.0,2.0,33.0,2.0,1.0,0.0,5.0,0.0,4.0,16.0,26.0,5.0,0.0,37.0,0.0,89.19,5.41,0.0,10.64,Balanced Defender
2023,3922659,Mali,Kamory Doumbia,0.0,1.0,34.0,2.0,0.0,3.0,5.0,0.0,5.0,10.0,19.0,21.0,2.0,37.0,0.0,91.89,2.7,5.41,42.0,Balanced Defender
2023,3920391,Mali,Kamory Doumbia,0.0,0.0,35.0,2.0,0.0,8.0,1.0,1.0,6.0,5.0,30.0,17.0,5.0,37.0,16.67,94.59,0.0,13.51,32.69,Balanced Defender
2023,3920393,Namibia,Prins Menelik Tjiueza,0.0,0.0,35.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,18.0,19.0,0.0,37.0,0.0,94.59,0.0,0.0,45.24,Balanced Defender
2024,3941020,Portugal,João Maria Lobo Alves Palhinha Gonçalves,0.0,3.0,27.0,7.0,5.0,11.0,1.0,2.0,12.0,19.0,37.0,10.0,4.0,37.0,16.67,72.97,8.11,10.81,15.15,Balanced Defender
2023,3920416,South Africa,Teboho Mokoena,0.0,2.0,33.0,1.0,1.0,3.0,5.0,1.0,2.0,9.0,33.0,5.0,0.0,36.0,50.0,91.67,5.56,0.0,10.64,Balanced Defender
2024,3942415,Uruguay,Manuel Ugarte Ribeiro,0.0,1.0,30.0,5.0,0.0,8.0,5.0,0.0,3.0,16.0,31.0,5.0,2.0,36.0,0.0,83.33,2.78,5.56,9.62,Balanced Defender
2024,3943077,Colombia,Jhon Adolfo Arias Andrade,0.0,0.0,30.0,6.0,1.0,11.0,3.0,0.0,3.0,13.0,28.0,13.0,5.0,36.0,0.0,83.33,0.0,13.89,24.07,Balanced Defender
2023,3920408,Côte d'Ivoire,Ibrahim Sangaré,0.0,2.0,32.0,2.0,1.0,3.0,4.0,0.0,5.0,8.0,31.0,10.0,2.0,36.0,0.0,88.89,5.56,5.56,20.41,Balanced Defender
2024,3939970,Peru,Piero Aldair Quispe Córdova,0.0,0.0,34.0,2.0,0.0,7.0,2.0,4.0,7.0,15.0,28.0,9.0,2.0,36.0,57.14,94.44,0.0,5.56,17.31,Balanced Defender
2024,3938645,Ukraine,Oleksandr Tymchyk,0.0,1.0,34.0,1.0,4.0,4.0,1.0,0.0,7.0,22.0,29.0,1.0,1.0,36.0,0.0,94.44,2.78,2.78,1.92,Balanced Defender
