team,possession_dominance,territorial_control,possession_efficiency,progression_intensity,progression_method,buildup_complexity,offensive_threat,tempo,press_intensity,defensive_line_height,press_effectiveness,counter_speed
Eibar,45.63894736842105,25.72421052631579,0.019809206067872596,71.71052631578948,0.45073684210526316,0.12244736842105264,1.320752601770341,3.3673684210526313,0.1625459834031996,1.4896578947368422,0.4622274832270367,3.848157894736842
Saint-Étienne,51.83081081081081,22.54972972972973,0.01470196728216254,81.48648648648648,0.4374864864864865,0.11143243243243244,1.1483563795006155,4.051891891891891,0.15111909818657082,1.4386486486486485,0.4369454557642435,3.617297297297297
Genoa,49.82526315789473,26.410526315789475,0.014658966851446803,84.89473684210526,0.46581578947368424,0.09268421052631579,1.1279536217426587,3.935526315789474,0.12931767908797004,1.395763157894737,0.4029286697822454,3.4718421052631583
Toulouse,46.83526315789474,24.092105263157894,0.0209366391184573,71.05263157894737,0.4847368421052632,0.11931578947368421,1.339449554583744,3.6697368421052627,0.12374222540623273,1.458,0.4538819669223607,3.7607894736842105
Sampdoria,49.41473684210526,23.900000000000002,0.013952583247353599,72.02631578947368,0.48676315789473684,0.09221052631578948,1.0631549976717092,4.376578947368421,0.09179852639207634,1.361657894736842,0.3720869213463222,3.9328947368421048
AFC Bournemouth,51.39868421052632,26.306052631578947,0.01625480693139188,81.23684210526316,0.493078947368421,0.093,1.0618839506680255,4.3373684210526315,0.10175391618690588,1.423263157894737,0.43239681328926177,3.4792105263157898
Swansea City,52.294736842105266,22.141315789473683,0.01371509418299545,79.3157894736842,0.43726315789473685,0.09468421052631579,1.1090837628825714,4.679736842105264,0.10226599924646106,1.3925263157894736,0.3823038874719839,3.3176315789473683
Everton,51.91421052631579,25.483947368421052,0.016958002168839227,90.71052631578948,0.45426315789473687,0.10568421052631578,1.3319669621506411,4.82842105263158,0.0829386472270118,1.3712368421052632,0.47137480063795856,3.7134210526315794
Inter Milan,54.73394736842105,25.702368421052633,0.01858517880898349,85.47368421052632,0.4663157894736842,0.10478947368421052,1.3516981509073,4.783421052631579,0.1111826321025221,1.4569736842105263,0.44207989472098685,3.775526315789474
Manchester City,56.868947368421054,31.87842105263158,0.019598842636766395,115.05263157894737,0.46315789473684216,0.10723684210526316,1.6988172519976568,5.500263157894737,0.11182390677417456,1.4338684210526316,0.5562070779391566,3.771578947368421
