season_name,match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
2022,3857286,Qatar,25,1.281,49.0,0.051,1.96
2022,3857287,South Korea,30,2.858,86.0,0.095,2.87
2022,3857287,Uruguay,39,1.581,140.0,0.041,3.59
2022,3857288,Australia,24,0.815,78.0,0.034,3.25
2022,3857288,Tunisia,36,3.013,98.0,0.084,2.72
2022,3857289,Argentina,8,0.428,15.0,0.054,1.88
2022,3857289,Mexico,5,0.168,6.0,0.034,1.2
2022,3857290,Cameroon,23,1.452,67.0,0.063,2.91
2022,3857290,Switzerland,11,4.747,26.0,0.432,2.36
2022,3857291,Spain,97,14.147,432.0,0.146,4.45
2022,3857292,Costa Rica,15,2.141,24.0,0.143,1.6
2022,3857292,Germany,105,20.658,351.0,0.197,3.34
2022,3857293,Ghana,42,3.296,129.0,0.078,3.07
2022,3857293,Uruguay,32,6.574,75.0,0.205,2.34
2022,3857294,Netherlands,40,11.482,195.0,0.287,4.88
2022,3857294,Qatar,10,0.19899999999999998,32.0,0.02,3.2
2022,3857295,Costa Rica,10,0.607,123.0,0.061,12.3
2022,3857295,Japan,36,3.06,120.0,0.085,3.33
2022,3857296,Belgium,69,13.187,291.0,0.191,4.22
2022,3857296,Croatia,41,3.546,144.0,0.086,3.51
2022,3857297,Poland,18,3.507,29.0,0.195,1.61
2022,3857297,Saudi Arabia,48,4.013,171.0,0.084,3.56
2022,3857298,Ghana,22,3.3360000000000003,46.0,0.152,2.09
2022,3857298,Portugal,32,2.6959999999999997,72.0,0.084,2.25
2022,3857299,Ghana,24,4.006,106.0,0.167,4.42
2022,3857299,South Korea,59,6.463,324.0,0.11,5.49
2022,3857300,Argentina,38,5.534,127.0,0.146,3.34
2022,3857300,Saudi Arabia,11,0.839,36.0,0.076,3.27
2022,3857301,Qatar,31,4.544,80.0,0.147,2.58
2022,3857301,Senegal,42,3.239,116.0,0.077,2.76
2022,3869117,Netherlands,27,4.433,86.0,0.164,3.19
2022,3869117,United States,54,3.901,146.0,0.072,2.7
2022,3869118,England,23,2.7889999999999997,56.0,0.121,2.43
2022,3869118,Senegal,28,1.8739999999999999,115.0,0.067,4.11
2022,3869151,Argentina,39,3.7489999999999997,187.0,0.096,4.79
2022,3869151,Australia,23,2.475,51.0,0.108,2.22
2022,3869152,France,53,4.071,178.0,0.077,3.36
2022,3869152,Poland,25,1.576,149.0,0.063,5.96
2022,3869219,Croatia,38,3.074,181.0,0.081,4.76
