season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2021/2022,3817871,NorthEast United,Suhair Vadakkepeedika,23,5.0,6.0,7,26.09,90,23.0
2022,3857294,Netherlands,Marten de Roon,23,2.0,6.0,6,26.09,82,25.24
2021/2022,3817858,Chennaiyin,Rahim Ali,23,3.0,2.0,4,8.7,94,22.02
2022,3869117,Netherlands,Daley Blind,23,1.0,8.0,4,34.78,95,21.79
2021/2022,3802907,Paris Saint-Germain,Marco Verratti,23,7.0,5.0,11,21.74,91,22.75
2021/2022,3813276,East Bengal,Mohammed Rafique,23,2.0,1.0,3,4.35,95,21.79
2021/2022,3802795,Rennes,Martin Terrier,23,2.0,3.0,5,13.04,85,24.35
2021/2022,3817865,NorthEast United,Hernán Daniel Santana Trujillo,23,8.0,2.0,6,8.7,93,22.26
2021/2022,3813294,NorthEast United,Provat Lakra,23,3.0,11.0,2,47.83,93,22.26
2022,3857273,Iran,Mehdi Taremi,23,3.0,1.0,12,4.35,100,20.7
2021/2022,3802699,Lille,Miguel Ângelo da Silva Rocha,23,3.0,7.0,5,30.43,95,21.79
2021/2022,3817896,East Bengal,Marcelo Ribeiro dos Santos,23,8.0,7.0,11,30.43,96,21.56
2021/2022,3813299,Bengaluru,Jayesh Dilip Rane,23,4.0,7.0,11,30.43,92,22.5
2022,3857284,Japan,Daichi Kamada,23,2.0,4.0,3,17.39,90,23.0
2022,3857255,Japan,Hidemasa Morita,23,1.0,1.0,1,4.35,91,22.75
2021/2022,3802676,Paris Saint-Germain,Idrissa Gana Gueye,23,4.0,3.0,4,13.04,80,25.88
2021/2022,3813294,Chennaiyin,Lallianzuala Chhangte,23,9.0,6.0,8,26.09,91,22.75
2021/2022,3827337,Kerala Blasters,Sahal Abdul Samad,23,1.0,4.0,0,17.39,82,25.24
2021/2022,3813308,Odisha,Isaac Vanmalsawma Chhakchhuak,23,4.0,4.0,1,17.39,78,26.54
2021/2022,3817872,Odisha,Moirangthem Thoiba Singh,23,5.0,8.0,2,34.78,95,21.79
2022,3857282,Wales,Aaron Ramsey,23,1.0,7.0,3,30.43,99,20.91
2021/2022,3813274,Bengaluru,Suresh Singh Wangjam,23,8.0,3.0,8,13.04,86,24.07
2022,3857260,Mexico,Orbelín Pineda Alvarado,23,5.0,5.0,7,21.74,76,27.24
2021/2022,3802795,Rennes,Birger Meling,23,3.0,10.0,2,43.48,91,22.75
2021/2022,3802805,OGC Nice,Pablo Paulino Rosario,23,8.0,1.0,3,4.35,91,22.75
2022,3857259,Cameroon,André-Frank Zambo Anguissa,23,6.0,5.0,5,21.74,78,26.54
2022,3869321,Argentina,Alexis Mac Allister,23,2.0,4.0,2,17.39,119,17.39
2022,3869519,Argentina,Enzo Fernandez,23,1.0,5.0,2,21.74,91,22.75
2022,3857301,Senegal,Idrissa Gana Gueye,23,4.0,7.0,5,30.43,92,22.5
2022,3857293,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,23,7.0,9.0,3,39.13,79,26.2
2021/2022,3813292,Bengaluru,Suresh Singh Wangjam,23,5.0,4.0,1,17.39,93,22.26
2022,3857272,England,Mason Mount,23,4.0,4.0,6,17.39,88,23.52
2021/2022,3802752,Lyon,Malo Gusto,23,4.0,6.0,0,26.09,94,22.02
