season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2021/2022,Georginio Wijnaldum,Paris Saint-Germain,8,11,1.32,1.0,-0.32
2022,Mohammed Kanoo,Saudi Arabia,2,6,0.32,0.0,-0.32
2022,Sofiane Boufal,Morocco,6,7,0.32,0.0,-0.32
2022,Joshua Kimmich,Germany,3,7,0.33,0.0,-0.33
2022,Harry Kane,England,4,12,2.33,2.0,-0.33
2021/2022,Nongdamba Singh Naorem,Goa,4,5,0.33,0.0,-0.33
2021/2022,Narayan Das,Chennaiyin,5,5,0.34,0.0,-0.34
2021/2022,Seminlen Doungel,Jamshedpur,13,24,2.35,2.0,-0.35
2021/2022,Eduardo Bedia Peláez,Goa,15,37,1.36,1.0,-0.36
2022,Ousmane Dembélé,France,5,8,0.36,0.0,-0.36
2021/2022,Lallianzuala Chhangte,Mumbai City,6,10,0.36,0.0,-0.36
2021/2022,Hitesh Sharma,Hyderabad,4,6,0.36,0.0,-0.36
2022,Marcelo Brozović,Croatia,4,5,1.37,1.0,-0.37
2022,Weston McKennie,United States,2,5,0.38,0.0,-0.38
2021/2022,Seriton Fernandes,Goa,5,6,0.38,0.0,-0.38
2022,Breel-Donald Embolo,Switzerland,3,6,2.39,2.0,-0.39
2021/2022,Pritam Kotal,ATK Mohun Bagan,8,9,1.39,1.0,-0.39
2021/2022,Aniket Anil Jadhav,Hyderabad,14,37,2.4,2.0,-0.4
2021/2022,Lallianzuala Chhangte,Chennaiyin,7,16,1.4,1.0,-0.4
2021/2022,Glan Martins,Goa,7,15,0.41,0.0,-0.41
2021/2022,Parag Satish Shrivas,Bengaluru,5,6,0.41,0.0,-0.41
2021/2022,Iván Garrido González,Goa,5,5,1.42,1.0,-0.42
2022,Daichi Kamada,Japan,4,6,0.42,0.0,-0.42
2021/2022,Mohammad Mobashir Rahman,Jamshedpur,7,12,0.43,0.0,-0.43
2021/2022,Suhair Vadakkepeedika,NorthEast United,18,46,3.43,3.0,-0.43
2021/2022,Dango Aboubacar Faissal Ouattara,Lorient,2,7,0.44,0.0,-0.44
2021/2022,Bijoy Varghese,Kerala Blasters,4,6,0.44,0.0,-0.44
2021/2022,Víctor Mongil Adeva,Odisha,5,5,0.44,0.0,-0.44
2022,Heung-Min Son,South Korea,4,9,0.45,0.0,-0.45
2021/2022,Patrick Flottmann,NorthEast United,5,8,1.46,1.0,-0.46
2021/2022,Suresh Singh Wangjam,Bengaluru,8,11,0.47,0.0,-0.47
2021/2022,Syed Suhail Pasha,Chennaiyin,5,5,0.47,0.0,-0.47
2022,Harry Maguire,England,4,6,0.49,0.0,-0.49
2021/2022,Boris Singh Thangjam,Jamshedpur,12,20,2.5,2.0,-0.5
2022,Antoine Griezmann,France,3,6,0.5,0.0,-0.5
2021/2022,Prabir Das,ATK Mohun Bagan,10,13,0.5,0.0,-0.5
2021/2022,Nandhakumar Sekar,Odisha,10,13,1.51,1.0,-0.51
2021/2022,Lalengmawia Ralte,Mumbai City,9,14,0.51,0.0,-0.51
2021/2022,Jeakson Singh Thaunaojam,Kerala Blasters,10,13,1.53,1.0,-0.53
2021/2022,Lalthathanga Khawlhring,Kerala Blasters,12,16,0.54,0.0,-0.54
2021/2022,Isaac Vanmalsawma Chhakchhuak,Odisha,7,8,0.54,0.0,-0.54
2021/2022,Carl Gerard McHugh,ATK Mohun Bagan,8,15,0.56,0.0,-0.56
2022,Rodrigo Javier De Paul,Argentina,5,7,0.57,0.0,-0.57
2021/2022,Edwin Sydney Vanspaul,Chennaiyin,9,16,0.57,0.0,-0.57
2021/2022,Mauro Emanuel Icardi Rivero,Paris Saint-Germain,6,15,2.58,2.0,-0.58
2021/2022,Sergio Ramos García,Paris Saint-Germain,5,11,1.59,1.0,-0.59
2021/2022,Franjo Prce,East Bengal,7,8,1.6,1.0,-0.6
2021/2022,Brandon Fernandes,Goa,6,12,0.6,0.0,-0.6
2022,Kieffer Roberto Francisco Moore,Wales,3,6,0.64,0.0,-0.64
2022,Youssef Msakni,Tunisia,2,9,0.64,0.0,-0.64
2021/2022,Marcelo Leite Pereira,NorthEast United,7,15,1.64,1.0,-0.64
2021/2022,Souvik Chakrabarti,Hyderabad,10,18,0.64,0.0,-0.64
2022,Bruno Guimarães Rodriguez Moura,Brazil,2,5,0.65,0.0,-0.65
2021/2022,Ángel Fabián Di María Hernández,Paris Saint-Germain,17,44,4.66,4.0,-0.66
2022,Antonio Rüdiger,Germany,3,6,0.66,0.0,-0.66
2021/2022,Mohammed Rafique,East Bengal,8,11,0.67,0.0,-0.67
2021/2022,Liridon Krasniqi,Odisha,4,5,0.67,0.0,-0.67
2021/2022,Francisco José Sota Bernard,East Bengal,5,13,0.68,0.0,-0.68
2021/2022,Muhammed Nemil Valiyattil,Goa,8,10,0.68,0.0,-0.68
2022,Ernesto Alexis Vega Rojas,Mexico,3,9,0.69,0.0,-0.69
2021/2022,Jitendra Singh,Jamshedpur,7,11,0.69,0.0,-0.69
2022,Tajon Buchanan,Canada,3,5,0.71,0.0,-0.71
2021/2022,Hernán Daniel Santana Trujillo,NorthEast United,15,35,1.72,1.0,-0.72
2021/2022,Gurjinder Kumar,NorthEast United,8,12,0.75,0.0,-0.75
2021/2022,Daniel Chima Chukwu,East Bengal,8,18,2.75,2.0,-0.75
2022,Marko Livaja,Croatia,4,7,1.77,1.0,-0.77
2021/2022,Juan Antonio González Fernández,Hyderabad,11,11,0.78,0.0,-0.78
2021/2022,Imran Khan,NorthEast United,10,13,0.79,0.0,-0.79
2022,Andreas Evald Cornelius,Denmark,3,5,0.8,0.0,-0.8
2022,Jonathan David,Canada,2,8,0.81,0.0,-0.81
2021/2022,Mathias Coureur,NorthEast United,6,21,1.82,1.0,-0.82
2021/2022,Alexander Romario Jesuraj,Goa,9,14,2.82,2.0,-0.82
2022,Ismaïla Sarr,Senegal,4,10,1.85,1.0,-0.85
2021/2022,Joni Ensio Kauko,ATK Mohun Bagan,17,32,3.87,3.0,-0.87
2022,Raphael Dias Belloli,Brazil,3,8,0.92,0.0,-0.92
2021/2022,Devendra Dhaku Murgaokar,Goa,14,26,2.92,2.0,-0.92
2022,Cristiano Ronaldo dos Santos Aveiro,Portugal,5,11,1.94,1.0,-0.94
2022,Sardar Azmoun,Iran,2,5,0.96,0.0,-0.96
2022,Steven Berghuis,Netherlands,3,6,0.98,0.0,-0.98
2021/2022,Saviour Gama,Goa,9,14,1.01,0.0,-1.01
