season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2023,3920399,Shaquille Momad Nangy,Mozambique,1,0.117,0.117,1.0,28.0,0.376
2023,3920417,Ngero Kaanjuka Katua,Namibia,1,0.371,0.371,4.0,89.0,0.375
2023,3920419,Cletous Chama,Zambia,1,0.029,0.029,4.0,7.0,0.372
2023,3920404,Youssef Msakni,Tunisia,1,0.359,0.359,2.0,87.0,0.371
2023,3920407,Thapelo James Morena,South Africa,1,0.317,0.317,2.0,77.0,0.37
2022/2023,3837839,Renato Júnior Luz Sanches,Paris Saint-Germain,2,0.332,0.111,14.0,81.0,0.369
2022/2023,3837747,Pape Gueye,Marseille,2,0.184,0.061,3.0,45.0,0.368
2023,3877060,Dixon Jair Arroyo Espinoza,Inter Miami,2,1.124,0.375,6.0,276.0,0.367
2023,3922237,Manuel Keliano,Angola,1,0.102,0.102,2.0,25.0,0.367
2022/2023,3837695,Renato Júnior Luz Sanches,Paris Saint-Germain,8,2.718,0.227,56.0,672.0,0.364
2023,3923881,Alhassan Yusuf,Nigeria,1,0.053,0.053,2.0,13.0,0.364
2023,3920399,Kenny Rocha Santos,Cape Verde Islands,2,0.097,0.048,24.0,24.0,0.363
2022/2023,3837752,Juan Bernat Velasco,Paris Saint-Germain,3,1.111,0.37,5.0,276.0,0.362
2023,3920386,Joe Aribo,Nigeria,2,0.559,0.112,30.0,140.0,0.36
2022/2023,3838017,Vivaldo Borges dos Santos Neto,Clermont Foot,5,1.727,0.345,16.0,435.0,0.357
2022/2023,3837827,Renato Júnior Luz Sanches,Paris Saint-Germain,1,0.051,0.051,3.0,13.0,0.356
2022/2023,3837827,Vitor Machado Ferreira,Paris Saint-Germain,3,0.842,0.281,7.0,213.0,0.356
2022/2023,3837695,Juan Bernat Velasco,Paris Saint-Germain,3,0.742,0.186,16.0,188.0,0.355
2022/2023,3837659,Sepe Elye Wahi,Montpellier,1,0.599,0.3,4.0,152.0,0.355
2022/2023,3837839,Kamory Doumbia,Stade de Reims,2,0.157,0.079,9.0,40.0,0.354
2023,3920395,Gaël Kakuta,Congo DR,4,1.061,0.265,7.0,272.0,0.351
2023,3920404,Fousseni Diabaté,Mali,1,0.105,0.105,3.0,27.0,0.35
2022/2023,3837844,Gianluigi Donnarumma,Paris Saint-Germain,3,1.071,0.357,4.0,276.0,0.349
2023,3920387,Joseph Paintsil,Ghana,2,0.697,0.232,8.0,180.0,0.348
2022/2023,3837695,Pablo Sarabia García,Paris Saint-Germain,4,2.129,0.266,20.0,552.0,0.347
2023,3920389,Morgan Guilavogui,Guinea,1,0.633,0.211,6.0,165.0,0.345
2023,3922838,Lionel Mpasi-Nzau,Congo DR,2,0.701,0.35,3.0,184.0,0.343
2023,3920386,Santiago Eneme Bocari,Equatorial Guinea,1,0.084,0.042,2.0,22.0,0.342
2023,3920388,Alasana Manneh,Gambia,1,0.493,0.246,2.0,130.0,0.341
2022/2023,3837659,Joris Chotard,Montpellier,1,0.599,0.3,8.0,158.0,0.341
2022/2023,3837859,Gabriel Alonso Suazo Urbina,Toulouse,1,0.072,0.072,2.0,19.0,0.34
2023,3920389,Oumar Gonzalez,Cameroon,4,0.314,0.078,8.0,84.0,0.336
2023,3920404,Aïssa Bilal Laïdouni,Tunisia,1,0.359,0.359,4.0,96.0,0.336
2022/2023,3837717,Mathis Rayan Cherki,Lyon,2,0.141,0.071,6.0,38.0,0.335
2022/2023,3837662,Benjamin André,Lille,5,1.275,0.212,18.0,342.0,0.335
2023,3877090,Diego José Palacios Espinoza,LAFC,2,0.237,0.119,4.0,64.0,0.334
2022/2023,3837662,Yusuf Yazıcı,Lille,5,1.249,0.208,17.0,336.0,0.334
2022/2023,3837885,Gianluigi Donnarumma,Paris Saint-Germain,3,0.969,0.323,5.0,261.0,0.334
2022/2023,3837987,Vitor Machado Ferreira,Paris Saint-Germain,1,0.087,0.087,6.0,24.0,0.326
2022/2023,3837683,Brecht Dejaegere,Toulouse,3,0.141,0.047,7.0,39.0,0.325
2022/2023,3837659,Théo Sainte-Luce,Montpellier,1,0.599,0.3,14.0,166.0,0.325
2022/2023,3837752,Achraf Hakimi Mouh,Paris Saint-Germain,4,1.265,0.316,20.0,352.0,0.323
2022/2023,3837827,Jeremy Doku,Rennes,1,0.104,0.104,4.0,29.0,0.323
2022/2023,3837659,Téji Savanier,Montpellier,1,0.599,0.3,32.0,170.0,0.317
2023,3920408,José Antonio Miranda Boacho,Equatorial Guinea,1,0.172,0.172,1.0,49.0,0.316
2023,3922237,Peter Shalulile,Namibia,1,0.329,0.329,2.0,94.0,0.315
2022/2023,3838017,Alidu Seidu,Clermont Foot,6,1.791,0.299,13.0,516.0,0.312
2023,3920388,Iliman Ndiaye,Senegal,2,0.104,0.052,5.0,30.0,0.312
2023,3920409,Alex Iwobi,Nigeria,2,0.201,0.1,10.0,58.0,0.312
