team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Toulouse,Ado Onaiwu,76.0,0.0,5.0,4.0,0.0,5.92,4.74,10.66,Ball Carrier
Marseille,Mattéo Guendouzi Olié,186.0,9.0,7.0,6.0,4.35,3.39,2.9,10.64,Complete Progressor
Algeria,Mohamed Youcef Belaïli,178.0,4.0,8.0,9.0,2.02,4.04,4.55,10.61,Ball Carrier
Marseille,Jordan Veretout,170.0,11.0,5.0,4.0,5.82,2.65,2.12,10.59,Progressive Passer
LAFC,Cristian Gonzalo Olivera Ibarra,34.0,0.0,2.0,2.0,0.0,5.29,5.29,10.58,Ball Carrier
Nashville SC,Jacob Shaffelburg,51.0,0.0,1.0,5.0,0.0,1.76,8.82,10.58,Progression Outlet
South Africa,Thapelo Maseko,213.0,2.0,12.0,11.0,0.85,5.07,4.65,10.57,Ball Carrier
Paris Saint-Germain,Marco Verratti,1830.0,137.0,45.0,33.0,6.74,2.21,1.62,10.57,Progressive Passer
Côte d'Ivoire,Jean-Philippe Krasso,256.0,4.0,12.0,14.0,1.41,4.22,4.92,10.55,Ball Carrier
Congo DR,Meschak Elia,447.0,6.0,25.0,21.0,1.21,5.03,4.23,10.47,Ball Carrier
Burkina Faso,Cédric Badolo,183.0,2.0,7.0,12.0,0.98,3.44,5.9,10.32,Ball Carrier
Nantes,Ludovic Blas,175.0,5.0,5.0,10.0,2.57,2.57,5.14,10.28,Progression Outlet
Rennes,Désiré Doué,132.0,3.0,8.0,4.0,2.05,5.45,2.73,10.23,Ball Carrier
Mauritania,Hemeya Tanjy,132.0,4.0,6.0,5.0,2.73,4.09,3.41,10.23,Ball Carrier
Tanzania,Lusajo Mwaikenda,141.0,8.0,4.0,4.0,5.11,2.55,2.55,10.21,Progressive Passer
Inter Miami,Jordi Alba Ramos,326.0,7.0,10.0,20.0,1.93,2.76,5.52,10.209999999999999,Progression Outlet
Tanzania,Mbwana Ally Samatta,247.0,3.0,10.0,15.0,1.09,3.64,5.47,10.2,Ball Carrier
Angola,Ambrosini Antonio Cabaça Salvador,159.0,3.0,5.0,10.0,1.7,2.83,5.66,10.190000000000001,Progression Outlet
