season_name,match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
2023/2024,3895286,Bayer Leverkusen,39.0,1.641,56.41,23.08,20.51,Low Block,22.0,9.0,8.0
2023/2024,3895286,Hoffenheim,89.0,1.135,91.01,4.49,4.49,Low Block,81.0,4.0,4.0
2023/2024,3895292,Bayer Leverkusen,46.0,1.326,71.74,23.91,4.35,Low Block,33.0,11.0,2.0
2023/2024,3895292,Union Berlin,63.0,1.381,71.43,19.05,9.52,Low Block,45.0,12.0,6.0
2023/2024,3895302,Bayer Leverkusen,32.0,1.844,40.62,34.38,25.0,Balanced,13.0,11.0,8.0
2023/2024,3895302,Werder Bremen,45.0,1.289,77.78,15.56,6.67,Low Block,35.0,7.0,3.0
2023/2024,3895309,Bayer Leverkusen,33.0,1.455,66.67,21.21,12.12,Low Block,22.0,7.0,4.0
2023/2024,3895309,Borussia Dortmund,41.0,1.439,63.41,29.27,7.32,Low Block,26.0,12.0,3.0
2023/2024,3895320,Bayer Leverkusen,26.0,1.615,53.85,30.77,15.38,Low Block,14.0,8.0,4.0
2023/2024,3895320,VfB Stuttgart,44.0,1.477,63.64,25.0,11.36,Low Block,28.0,11.0,5.0
2023/2024,3895333,Bayer Leverkusen,59.0,1.136,88.14,10.17,1.69,Low Block,52.0,6.0,1.0
2023/2024,3895333,Eintracht Frankfurt,39.0,1.513,58.97,30.77,10.26,Low Block,23.0,12.0,4.0
2023/2024,3895340,Bayer Leverkusen,38.0,1.579,55.26,31.58,13.16,Low Block,21.0,12.0,5.0
2023/2024,3895340,Bochum,49.0,1.429,65.31,26.53,8.16,Low Block,32.0,13.0,4.0
2023/2024,3895348,Augsburg,53.0,1.208,84.91,9.43,5.66,Low Block,45.0,5.0,3.0
2023/2024,3895348,Bayer Leverkusen,41.0,1.488,68.29,14.63,17.07,Low Block,28.0,6.0,7.0
2024,3930158,Germany,32.0,1.812,37.5,43.75,18.75,Balanced,12.0,14.0,6.0
2024,3930158,Scotland,44.0,1.341,72.73,20.45,6.82,Low Block,32.0,9.0,3.0
2024,3930159,Hungary,48.0,1.292,75.0,20.83,4.17,Low Block,36.0,10.0,2.0
2024,3930159,Switzerland,43.0,1.605,55.81,27.91,16.28,Low Block,24.0,12.0,7.0
2024,3930160,Croatia,47.0,1.766,44.68,34.04,21.28,Balanced,21.0,16.0,10.0
2024,3930160,Spain,29.0,1.655,48.28,37.93,13.79,Balanced,14.0,11.0,4.0
2024,3930161,Albania,50.0,1.24,78.0,20.0,2.0,Low Block,39.0,10.0,1.0
2024,3930161,Italy,30.0,2.0,33.33,33.33,33.33,High Press,10.0,10.0,10.0
2024,3930162,Denmark,37.0,1.432,67.57,21.62,10.81,Low Block,25.0,8.0,4.0
2024,3930162,Slovenia,65.0,1.246,78.46,18.46,3.08,Low Block,51.0,12.0,2.0
