season_name,match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
2023/2024,3895158,Bayer Leverkusen,Exequiel Alejandro Palacios,73.0,67.0,140.0,10,10,20,23.03
2024,3930176,Germany,Joshua Kimmich,70.0,70.0,140.0,12,11,23,23.1
2024,3930163,Serbia,Nikola Milenković,77.0,63.0,140.0,12,10,22,30.3
2024,3941021,Netherlands,Tijjani Reijnders,70.0,70.0,140.0,13,13,26,29.79
2025,4020005,England Women's,Lucy Bronze,73.0,66.0,139.0,13,12,25,25.18
2025,3998842,Netherlands Women's,Dominique Johanna Anna Petrone Janssen,71.0,68.0,139.0,11,9,20,28.31
2023/2024,3895333,Eintracht Frankfurt,Mario Götze,71.0,67.0,138.0,15,15,30,28.99
2024,3938638,Ukraine,Illia Zabarnyi,70.0,68.0,138.0,14,12,26,25.65
2024,3941022,Austria,Nicolas Seiwald,71.0,67.0,138.0,14,12,26,27.17
2024,3930162,Denmark,Morten Hjulmand,69.0,69.0,138.0,9,12,21,22.59
