match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
3938642,Georgia,13.0,11.0,13.0,37.0,29.73,35.14
3938643,France,36.0,31.0,36.0,103.0,30.1,34.95
3938643,Poland,11.0,16.0,11.0,38.0,42.11,28.95
3938644,Georgia,4.0,13.0,4.0,21.0,61.9,19.05
3938644,Portugal,64.0,52.0,64.0,180.0,28.89,35.56
3938645,Belgium,43.0,41.0,43.0,127.0,32.28,33.86
3938645,Ukraine,18.0,13.0,18.0,49.0,26.53,36.73
3939969,Argentina,28.0,29.0,28.0,85.0,34.12,32.94
3939969,Canada,16.0,18.0,16.0,50.0,36.0,32.0
3939970,Chile,35.0,24.0,35.0,94.0,25.53,37.23
3939970,Peru,13.0,16.0,13.0,42.0,38.1,30.95
3939971,Jamaica,21.0,12.0,21.0,54.0,22.22,38.89
3939971,Mexico,43.0,25.0,43.0,111.0,22.52,38.74
3939972,Ecuador,18.0,9.0,18.0,45.0,20.0,40.0
3939972,Venezuela,28.0,11.0,28.0,67.0,16.42,41.79
3939973,Panama,17.0,7.0,17.0,41.0,17.07,41.46
3939973,Uruguay,36.0,15.0,36.0,87.0,17.24,41.38
3939974,Bolivia,13.0,11.0,13.0,37.0,29.73,35.14
3939974,United States,36.0,29.0,36.0,101.0,28.71,35.64
3939975,Colombia,33.0,18.0,33.0,84.0,21.43,39.29
3939975,Paraguay,14.0,20.0,14.0,48.0,41.67,29.17
3939976,Brazil,70.0,56.0,70.0,196.0,28.57,35.71
3939976,Costa Rica,2.0,5.0,2.0,9.0,55.56,22.22
3939977,Argentina,25.0,22.0,25.0,72.0,30.56,34.72
3939977,Chile,16.0,15.0,16.0,47.0,31.91,34.04
3939978,Canada,27.0,27.0,27.0,81.0,33.33,33.33
3939978,Peru,12.0,16.0,12.0,40.0,40.0,30.0
3939979,Mexico,45.0,33.0,45.0,123.0,26.83,36.59
3939979,Venezuela,17.0,13.0,17.0,47.0,27.66,36.17
3939980,Ecuador,18.0,19.0,18.0,55.0,34.55,32.73
3939980,Jamaica,12.0,7.0,12.0,31.0,22.58,38.71
3939981,Panama,37.0,23.0,37.0,97.0,23.71,38.14
3939981,United States,5.0,4.0,5.0,14.0,28.57,35.71
3939982,Bolivia,6.0,4.0,6.0,16.0,25.0,37.5
3939982,Uruguay,32.0,28.0,32.0,92.0,30.43,34.78
3939983,Brazil,24.0,27.0,24.0,75.0,36.0,32.0
3939983,Paraguay,20.0,15.0,20.0,55.0,27.27,36.36
3939984,Colombia,29.0,28.0,29.0,86.0,32.56,33.72
3939984,Costa Rica,8.0,5.0,8.0,21.0,23.81,38.1
3939985,Canada,22.0,18.0,22.0,62.0,29.03,35.48
3939985,Chile,11.0,7.0,11.0,29.0,24.14,37.93
3939986,Argentina,21.0,13.0,21.0,55.0,23.64,38.18
3939986,Peru,6.0,6.0,6.0,18.0,33.33,33.33
