match_id,team,total_actions,final_third_actions,field_tilt_pct
68327,Osasuna,686,156,22.74
68327,Barcelona,1299,286,22.02
68328,Valencia,635,161,25.35
68328,Barcelona,1396,331,23.71
68329,Sevilla,882,244,27.66
68329,Barcelona,1122,188,16.76
68330,Barcelona,1085,251,23.13
68330,Real Madrid,603,138,22.89
68331,Barcelona,1157,273,23.6
68331,Real Zaragoza,603,126,20.9
68332,Barcelona,1479,313,21.16
68332,Valencia,600,97,16.17
68333,Athletic Club,582,125,21.48
68333,Barcelona,1382,264,19.1
68334,Sevilla,710,208,29.3
68334,Barcelona,1172,200,17.06
68335,Barcelona,1153,261,22.64
68335,Real Madrid,774,145,18.73
68336,Gimnàstic Tarragona,581,113,19.45
68336,Barcelona,1328,256,19.28
68337,Japan Women's,1005,210,20.9
68337,England Women's,1115,164,14.71
68338,Scotland Women's,782,242,30.95
68338,Argentina Women's,755,125,16.56
68339,Getafe,843,170,20.17
68339,Barcelona,1155,173,14.98
68340,Racing Santander,474,117,24.68
68340,Barcelona,1273,248,19.48
68341,Recreativo Huelva,679,124,18.26
68341,Barcelona,1718,242,14.09
68342,Barcelona,1118,340,30.41
68342,Athletic Club,431,87,20.19
68343,Chile Women's,1094,380,34.73
68343,Thailand Women's,555,77,13.87
68344,Netherlands Women's,825,192,23.27
68344,Canada Women's,908,179,19.71
68345,Sweden Women's,758,151,19.92
68345,United States Women's,1230,231,18.78
68346,Cameroon Women's,708,206,29.1
68346,New Zealand Women's,822,185,22.51
68347,Athletic Club,514,125,24.32
68347,Barcelona,1309,302,23.07
68348,Barcelona,854,252,29.51
68348,Espanyol,513,124,24.17
68350,Atlético Madrid,613,142,23.16
68350,Barcelona,972,200,20.58
68351,Real Zaragoza,727,146,20.08
68351,Barcelona,1073,194,18.08
68352,Barcelona,1197,267,22.31
68352,Getafe,735,131,17.82
68353,Barcelona,896,284,31.7
68353,Espanyol,560,131,23.39
68354,Barcelona,1384,415,29.99
68354,Racing Santander,503,69,13.72
68355,Germany Women's,903,244,27.02
68355,Nigeria Women's,431,95,22.04
68356,Espanyol,677,176,26.0
68356,Barcelona,959,210,21.9
68357,Norway Women's,1116,300,26.88
68357,Australia Women's,1228,295,24.02
68358,Recreativo Huelva,734,229,31.2
68358,Barcelona,1013,192,18.95
68359,Espanyol,547,136,24.86
68359,Barcelona,1310,307,23.44
68360,Levante UD,542,127,23.43
68360,Barcelona,1630,379,23.25
68361,Real Madrid,973,292,30.01
68361,Barcelona,880,176,20.0
68362,England Women's,1137,278,24.45
68362,Cameroon Women's,554,108,19.49
68363,Barcelona,1135,288,25.37
68363,Real Valladolid,776,184,23.71
68364,Barcelona,1091,280,25.66
68364,Villarreal,878,223,25.4
68365,Barcelona,1220,282,23.11
68365,Atlético Madrid,624,142,22.76
68366,Mallorca,867,245,28.26
