match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
19787,Bristol City WFC,26,17.99,4.51,4.26
19787,Birmingham City WFC,40,13.63,4.99,2.67
19788,Liverpool WFC,41,18.57,5.28,3.77
19788,Yeovil Town LFC,34,13.8,4.19,3.63
19789,Chelsea FCW,31,15.38,4.61,3.48
19789,Birmingham City WFC,29,11.46,4.2,3.02
19790,Brighton & Hove Albion WFC,35,16.4,4.48,4.91
19790,Manchester City WFC,35,14.95,4.71,3.27
19791,Arsenal WFC,39,19.53,5.26,3.72
19791,Reading WFC,35,11.54,4.76,2.81
19792,Bristol City WFC,42,17.26,4.52,4.01
19792,Yeovil Town LFC,40,13.86,4.11,3.64
19793,Liverpool WFC,35,14.16,3.72,4.19
19793,West Ham United LFC,36,20.5,5.51,3.88
19794,Chelsea FCW,40,14.82,5.15,3.09
19794,Bristol City WFC,31,13.76,5.05,3.04
19795,Reading WFC,35,17.97,4.69,4.02
19795,West Ham United LFC,31,18.86,4.87,3.94
19796,Brighton & Hove Albion WFC,32,17.83,4.46,4.47
19796,Birmingham City WFC,33,13.44,4.65,3.09
19797,Yeovil Town LFC,28,15.61,4.2,3.54
19797,Arsenal WFC,38,16.08,5.24,3.15
19798,Everton LFC,20,18.64,4.47,4.89
19798,Manchester City WFC,35,13.4,4.66,3.35
19799,Liverpool WFC,25,12.06,4.38,2.85
19799,Chelsea FCW,32,12.59,5.05,2.71
19800,Bristol City WFC,31,16.77,4.42,3.9
19800,Arsenal WFC,46,14.01,5.16,3.01
19801,Manchester City WFC,37,14.45,4.71,3.26
19801,Reading WFC,37,14.46,4.88,3.17
19802,Brighton & Hove Albion WFC,34,19.72,4.86,4.17
19802,Yeovil Town LFC,28,17.31,4.81,4.02
19803,West Ham United LFC,28,15.86,4.19,4.08
19803,Everton LFC,33,11.84,3.75,3.91
19804,Arsenal WFC,28,17.25,5.56,3.27
19804,Birmingham City WFC,34,14.81,4.84,3.16
19805,Chelsea FCW,31,17.68,4.79,4.39
19805,West Ham United LFC,29,12.55,4.73,3.39
19806,Bristol City WFC,49,17.57,4.8,3.7
19806,Reading WFC,38,15.7,4.94,3.33
19807,Liverpool WFC,28,15.81,4.02,4.25
19807,Manchester City WFC,32,14.29,5.29,3.16
19808,Everton LFC,38,14.78,4.88,3.13
19808,Yeovil Town LFC,27,11.88,4.45,2.86
19809,Reading WFC,36,15.3,4.56,4.71
19809,Brighton & Hove Albion WFC,33,18.38,4.7,3.95
19810,Bristol City WFC,38,18.76,4.37,5.22
19810,Liverpool WFC,40,15.13,5.13,3.76
19811,Arsenal WFC,29,15.88,4.69,3.69
19811,Everton LFC,34,15.14,4.63,3.44
19813,Birmingham City WFC,33,12.98,5.44,3.79
19813,West Ham United LFC,24,17.18,5.62,3.3
19814,Bristol City WFC,37,15.16,4.02,3.8
